department_name,course_name,semester_year,term_name,course_code,student_id_count,high_school_gpa_mean
Personal Development,Justice: What's the Right Thing to Do?,2016,Fall,PHIL-8500,1,3.54
Environment and Natural Resources,Know Thyself,2014,Fall,PHIL-9300,1,3.39
Philosophy,Lecture Course in Ethical and Political Philosophy,2014,Fall,PHIL-9600,2,3.76
Communication,Lecture Course in Ethical and Political Philosophy,2016,Fall,PHIL-9600,1,3.25
Classics,Lecture Course in Ethical and Political Philosophy,2014,Fall,PHIL-9600,1,3.21
Philosophy,Modern Political Philosophy,2014,Fall,PHIL-11200,4,3.1375
Anthropology,Modern Political Philosophy,2019,Fall,PHIL-11200,1,3.19
Law,Modern Political Philosophy,2015,Fall,PHIL-11200,1,2.63
Philosophy,Modern Political Philosophy,2016,Fall,PHIL-11200,2,3.385
Communication,Modern Political Philosophy,2017,Fall,PHIL-11200,1,3.33
Environment and Natural Resources,Modern Political Philosophy,2018,Fall,PHIL-11200,1,3.17
Philosophy,Natural Right,2018,Fall,PHIL-11400,3,3.113333333
Archaeology,Natural Right,2019,Fall,PHIL-11400,1,3.02
Media Studies,Natural Right,2016,Fall,PHIL-11400,1,2.7
Geography,Natural Right,2016,Fall,PHIL-11400,1,3.45
History,On Romantic Love,2015,Fall,PHIL-12000,1,3.53
Film,On Romantic Love,2015,Fall,PHIL-12000,2,3.07
Data Science,On Romantic Love,2014,Fall,PHIL-12000,1,2.62
Philosophy,On Romantic Love,2017,Fall,PHIL-12000,1,3.07
Media Studies,Philosophy of Kant,2014,Fall,PHIL-12500,1,2.95
Sociology,Philosophy of Kant,2018,Fall,PHIL-12500,1,3
World Languages,Philosophy of Kant,2016,Fall,PHIL-12500,1,3.69
Philosophy,The History of Philosophy Without Any Gaps,2017,Fall,PHIL-18600,1,2.73
Sociology,Exploring the Warped Universe,2015,Fall,PHYS-1400,2,3.44
Physics,Exploring the Warped Universe,2019,Fall,PHYS-1400,6,3.155
Biology,Exploring the Warped Universe,2015,Fall,PHYS-1400,1,2.79
Literature,Exploring the Warped Universe,2018,Fall,PHYS-1400,1,3.19
Physics,Harmony and Balance,2014,Fall,PHYS-2200,7,3.268571429
Literature,History and Mysteries of the Universe,2014,Fall,PHYS-2300,1,3.16
Business,History and Mysteries of the Universe,2015,Fall,PHYS-2300,2,3.215
Astronomy,History and Mysteries of the Universe,2017,Fall,PHYS-2300,1,2.56
Business,History and Mysteries of the Universe,2016,Fall,PHYS-2300,1,2.98
Art,History and Mysteries of the Universe,2015,Fall,PHYS-2300,1,3.68
World Languages,History and Mysteries of the Universe,2014,Fall,PHYS-2300,1,3.55
Film,History and Mysteries of the Universe,2015,Fall,PHYS-2300,1,3.35
Aeronautics,History and Mysteries of the Universe,2016,Fall,PHYS-2300,1,3.04
Physics,Inflationary Theory,2020,Fall,PHYS-2400,1,2.68
Environment and Natural Resources,Inflationary Theory,2015,Fall,PHYS-2400,1,3.09
Physics,Inflationary Theory,2017,Fall,PHYS-2400,3,2.936666667
World Languages,Inflationary Theory,2014,Fall,PHYS-2400,1,3.06
Math,Modern Theoretical Physics: Einstein,2015,Fall,PHYS-4200,1,3.54
Law,Modern Theoretical Physics: Einstein,2015,Fall,PHYS-4200,1,2.85
Archaeology,Physics I: Classical Mechanics,2014,Fall,PHYS-6600,1,3.29
Law,Physics I: Classical Mechanics,2017,Fall,PHYS-6600,1,3.4
Astronomy,Space Time and Einstein,2017,Fall,PHYS-7500,2,3.185
Classics,The Black Hole Information Paradox,2016,Fall,PHYS-8900,1,3.3
Sociology,The Black Hole Information Paradox,2016,Fall,PHYS-8900,2,3.19
Health,The Black Hole Information Paradox,2014,Fall,PHYS-8900,1,3.51
Engineering,The World in Eleven Dimensions,2015,Fall,PHYS-9700,1,2.93
Physics,The World in Eleven Dimensions,2017,Fall,PHYS-9700,6,3.206666667
Physics,The World in Eleven Dimensions,2015,Fall,PHYS-9700,6,3.286666667
Classics,The World in Eleven Dimensions,2016,Fall,PHYS-9700,1,3.44
Religion,The World in Eleven Dimensions,2017,Fall,PHYS-9700,1,3.23
Chemistry,The World in Eleven Dimensions,2017,Fall,PHYS-9700,1,3.13
Urban Studie,Modeling Politics,2015,Fall,POLI-2100,1,3.46
Personal Development,Developmental Psychopathology,2017,Fall,PSYC-1400,1,3.73
Chemistry,Developmental Psychopathology,2017,Fall,PSYC-1400,1,3.74
Design,Developmental Psychopathology,2018,Fall,PSYC-1400,1,3.19
Anthropology,Developmental Psychopathology,2017,Fall,PSYC-1400,1,2.94
Biology,Developmental Psychopathology,2018,Fall,PSYC-1400,1,3.27
Psychology and Neuroscience,Developmental Psychopathology,2020,Fall,PSYC-1400,3,3.403333333
Media Studies,Neural Networks and Biological Modeling,2016,Fall,PSYC-4800,1,2.64
Sociology,Neural Networks and Biological Modeling,2017,Fall,PSYC-4800,1,2.62
Economics and Finance,Neuroscience and Behavior,2014,Fall,PSYC-4900,1,2.84
Business,Neuroscience and Behavior,2018,Fall,PSYC-4900,1,3.37
Film,The World of Abnormal Psychology,2014,Fall,PSYC-8200,4,3.3125
Art,The World of Abnormal Psychology,2016,Fall,PSYC-8200,2,2.71
Psychology and Neuroscience,The World of Abnormal Psychology,2014,Fall,PSYC-8200,11,3.160909091
Classics,The World of Abnormal Psychology,2014,Fall,PSYC-8200,2,2.94
Religion,The World of Abnormal Psychology,2017,Fall,PSYC-8200,1,3.11
Architecture,Hinduism Through Its Scriptures,2014,Fall,RELI-1700,1,3.57
Personal Development,Hinduism Through Its Scriptures,2016,Fall,RELI-1700,2,3.65
Media Studies,History of Christianity II ,2018,Fall,RELI-2100,2,3.405
Aeronautics,History of Christianity II ,2019,Fall,RELI-2100,1,3.15
Archaeology,History of Christianity II ,2014,Fall,RELI-2100,1,3.11
Music and Performing Arts,Religious Literacy: Traditions and Scriptures,2014,Fall,RELI-3900,1,2.97
Religion,Religious Literacy: Traditions and Scriptures,2018,Fall,RELI-3900,3,3.7
World Languages,Speak Italian with Your Mouth Full,2017,Fall,WORL-3800,9,3.102222222
Design,Speak Italian with Your Mouth Full,2015,Fall,WORL-3800,1,3.23
Chemistry,Speak Italian with Your Mouth Full,2015,Fall,WORL-3800,1,3.05
Philosophy,Speak Italian with Your Mouth Full,2018,Fall,WORL-3800,1,3.48
Media Studies,Speak Italian with Your Mouth Full,2015,Fall,WORL-3800,1,2.81
Law,Advanced Algorithms,2014,Fall,COMP-0100,1,3.6
Personal Development,Neural Networks for Machine Learning,2016,Fall,COMP-13800,2,3.51
History,Neural Networks for Machine Learning,2014,Fall,COMP-13800,1,2.7
Health,Neural Networks for Machine Learning,2016,Fall,COMP-13800,1,2.89
Personal Development,Programming for Everybody (Getting Started with Python),2016,Fall,COMP-14700,1,2.6
Computer Science,Quantum Computing for the Determined,2014,Fall,COMP-15900,2,3.6
Literature,Quantum Computing for the Determined,2020,Fall,COMP-15900,1,2.73
Anthropology,Quantum Computing for the Determined,2018,Fall,COMP-15900,2,3
Communication,Quantum Computing for the Determined,2015,Fall,COMP-15900,1,3.48
Law,Quantum Computing for the Determined,2017,Fall,COMP-15900,1,3.45
Aeronautics,Quantum Computing for the Determined,2018,Fall,COMP-15900,1,3.04
Business,Quantum Computing for the Determined,2019,Fall,COMP-15900,1,2.74
Media Studies,Software Engineering: Introduction,2014,Fall,COMP-16500,2,3.005
Astronomy,Software Engineering: Introduction,2020,Fall,COMP-16500,1,3.95
Computer Science,Software Engineering: Introduction,2017,Fall,COMP-16500,5,3.086
Media Studies,Software Engineering: Introduction,2019,Fall,COMP-16500,1,2.84
Chemistry,Software Engineering: Introduction,2016,Fall,COMP-16500,1,3.43
Geography,Software Engineering: Introduction,2019,Fall,COMP-16500,1,2.98
Media Studies,Software Engineering: Introduction,2015,Fall,COMP-16500,1,3.7
Data Science,Data Science: Probability,2014,Fall,DATA-1000,18,3.176666667
Data Science,Data Science: Probability,2017,Fall,DATA-1000,14,3.08
Chemistry,Data Science: Probability,2014,Fall,DATA-1000,1,3.26
Communication,Data Science: Probability,2014,Fall,DATA-1000,1,2.84
Urban Studie,Data Science: Probability,2017,Fall,DATA-1000,2,3
Economics and Finance,Data Science: Probability,2018,Fall,DATA-1000,1,3
Aeronautics,Data Science: Probability,2017,Fall,DATA-1000,1,3.08
Religion,Data Science: Probability,2015,Fall,DATA-1000,1,3.06
Communication,Data Science: Probability,2016,Fall,DATA-1000,1,3.32
Engineering,Advanced Analog Integrated Circuits,2017,Fall,ENGI-0100,9,3.286666667
Aeronautics,Advanced Analog Integrated Circuits,2017,Fall,ENGI-0100,1,3.14
Film,Advanced Analog Integrated Circuits,2018,Fall,ENGI-0100,1,3.64
World Languages,Advanced Analog Integrated Circuits,2019,Fall,ENGI-0100,1,3.43
Math,Advanced Analog Integrated Circuits,2019,Fall,ENGI-0100,1,3.55
Physics,Advanced Analog Integrated Circuits,2015,Fall,ENGI-0100,1,3.06
Geography,Convex Optimization 2,2015,Fall,ENGI-1200,1,3.63
Political Science,Direct Solar/Thermal to Electrical Energy Conversion Technologies,2015,Fall,ENGI-1400,1,3.54
Engineering,Direct Solar/Thermal to Electrical Energy Conversion Technologies,2016,Fall,ENGI-1400,6,3.406666667
Music and Performing Arts,Direct Solar/Thermal to Electrical Energy Conversion Technologies,2017,Fall,ENGI-1400,1,2.64
Art,Direct Solar/Thermal to Electrical Energy Conversion Technologies,2015,Fall,ENGI-1400,1,3.35
Engineering,Fields and Waves,2018,Fall,ENGI-3200,7,3.165714286
Astronomy,Fields and Waves,2016,Fall,ENGI-3200,1,3.07
Urban Studie,Fields and Waves,2016,Fall,ENGI-3200,2,3.285
Film,Fields and Waves,2018,Fall,ENGI-3200,1,2.92
Geography,Fields and Waves,2014,Fall,ENGI-3200,1,3.55
Communication,Optimization Models in Engineering,2015,Fall,ENGI-6600,1,2.92
Political Science,Optimization Models in Engineering,2015,Fall,ENGI-6600,1,3.54
Biology,Optimization Models in Engineering,2017,Fall,ENGI-6600,1,2.87
Psychology and Neuroscience,International Environmental Law,2015,Fall,ENVI-1800,2,3.395
Communication,International Environmental Law,2016,Fall,ENVI-1800,1,3.44
History,International Environmental Law,2016,Fall,ENVI-1800,1,2.74
Biology,International Environmental Law,2020,Fall,ENVI-1800,1,2.74
Data Science,International Environmental Law,2019,Fall,ENVI-1800,1,2.75
Business,Script Writing: Write a Pilot Episode for a TV or Web Series,2014,Fall,WRIT-2500,2,3.3
Psychology and Neuroscience,Script Writing: Write a Pilot Episode for a TV or Web Series,2016,Fall,WRIT-2500,1,3.54
Sociology,Writing Stories About Ourselves,2018,Fall,WRIT-3200,1,3.21
Computer Science,Writing Stories About Ourselves,2018,Fall,WRIT-3200,1,3.82
Sociology,Writing Stories About Ourselves,2014,Fall,WRIT-3200,1,2.55
Film,Writing Stories About Ourselves,2018,Fall,WRIT-3200,2,3.02
History,Agile Meets Design Thinking,2018,Fall,BUSI-0300,2,3.2
Geography,Agile Meets Design Thinking,2020,Fall,BUSI-0300,2,3.215
Computer Science,Agile Meets Design Thinking,2016,Fall,BUSI-0300,1,2.83
Data Science,Agile Meets Design Thinking,2017,Fall,BUSI-0300,1,3.02
Astronomy,Agile Meets Design Thinking,2018,Fall,BUSI-0300,1,3.44
Classics,Business Growth Strategy,2017,Fall,BUSI-1300,1,4.21
Geography,Fundamentals of Project Planning and Management,2015,Fall,BUSI-4200,1,3.35
Biology,Fundamentals of Project Planning and Management,2014,Fall,BUSI-4200,1,3.11
Art,Fundamentals of Project Planning and Management,2016,Fall,BUSI-4200,1,3
Business,Global Risk Regulation,2018,Fall,BUSI-4500,5,3.498
Literature,Global Risk Regulation,2017,Fall,BUSI-4500,1,3.21
Urban Studie,Global Risk Regulation,2016,Fall,BUSI-4500,1,3.33
Chemistry,Global Risk Regulation,2017,Fall,BUSI-4500,1,2.88
Business,Global Risk Regulation,2019,Fall,BUSI-4500,1,3.29
Sociology,The New Entrepreneurs,2018,Fall,BUSI-10400,1,3.69
Math,The New Entrepreneurs,2016,Fall,BUSI-10400,2,2.92
Chemistry,The New Entrepreneurs,2016,Fall,BUSI-10400,1,3.59
Media Studies,The New Entrepreneurs,2015,Fall,BUSI-10400,1,3.13
Media Studies,The New Entrepreneurs,2019,Fall,BUSI-10400,1,3.3
History,The New Entrepreneurs,2014,Fall,BUSI-10400,2,3.16
Film,The New Entrepreneurs,2014,Fall,BUSI-10400,1,2.77
Music and Performing Arts,Financial Markets,2017,Fall,ECON-2300,1,2.96
Religion,Financial Markets,2019,Fall,ECON-2300,1,3.36
Urban Studie,History of Economic Theory,2017,Fall,ECON-3400,1,3.03
Music and Performing Arts,History of Economic Theory,2017,Fall,ECON-3400,1,3.13
Physics,History of Economic Theory,2014,Fall,ECON-3400,1,3.65
Geography,History of Economic Theory,2018,Fall,ECON-3400,1,3.35
Biology,History of Economic Theory,2014,Fall,ECON-3400,1,3.22
Political Science,Mastering Econometrics,2016,Fall,ECON-4700,1,3.93
Architecture,Mastering Econometrics,2015,Fall,ECON-4700,2,3.26
Psychology and Neuroscience,Mastering Econometrics,2018,Fall,ECON-4700,1,3.65
Math,Reading Marx's Capital: Vol 2,2016,Fall,ECON-6900,1,3.1
Psychology and Neuroscience,Reading Marx's Capital: Vol 2,2016,Fall,ECON-6900,1,3.4
Health,Reading Marx's Capital: Vol 2,2017,Fall,ECON-6900,1,3.57
Environment and Natural Resources,The Elements of Economic Analysis,2015,Fall,ECON-7700,1,3.04
Law,De-Mystifying Mindfulness,2015,Fall,PERS-0200,1,3.11
Health,De-Mystifying Mindfulness,2018,Fall,PERS-0200,2,2.755
Archaeology,De-Mystifying Mindfulness,2019,Fall,PERS-0200,1,2.84
Music and Performing Arts,De-Mystifying Mindfulness,2014,Fall,PERS-0200,1,3.77
Communication,De-Mystifying Mindfulness,2016,Fall,PERS-0200,2,3.05
Business,De-Mystifying Mindfulness,2016,Fall,PERS-0200,1,3.42
Archaeology,History of Architecture,2016,Fall,ARCH-1200,1,3.69
Urban Studie,History of Architecture,2017,Fall,ARCH-1200,1,3.07
Architecture,History of Architecture,2020,Fall,ARCH-1200,1,3.36
Aeronautics,History of Architecture,2015,Fall,ARCH-1200,1,2.69
Astronomy,Survey of Astronomy,2018,Fall,ASTR-1700,19,3.230526316
Art,Survey of Astronomy,2019,Fall,ASTR-1700,1,3.86
Psychology and Neuroscience,Survey of Astronomy,2017,Fall,ASTR-1700,1,3.56
Geography,Survey of Astronomy,2016,Fall,ASTR-1700,1,3.55
Law,Survey of Astronomy,2016,Fall,ASTR-1700,1,3.06
Writing,Survey of Astronomy,2016,Fall,ASTR-1700,1,3.42
World Languages,Autism and Related Disorders,2015,Fall,BIOL-0700,1,3.16
Urban Studie,Autism and Related Disorders,2015,Fall,BIOL-0700,1,3.09
Religion,Autism and Related Disorders,2015,Fall,BIOL-0700,1,3.2
Law,Autism and Related Disorders,2018,Fall,BIOL-0700,1,3.91
Film,Enhancing Humane Science,2015,Fall,BIOL-2700,1,3.25
Biology,Fundamentals of Biology,2015,Fall,BIOL-3800,9,3.19
Biology,Getting Started in Crypto-EM,2015,Fall,BIOL-5400,6,3.24
Aeronautics,Getting Started in Crypto-EM,2014,Fall,BIOL-5400,2,3.37
Biology,Introduction to Toxicology,2014,Fall,BIOL-7100,7,3.478571429
Archaeology,Introduction to Toxicology,2017,Fall,BIOL-7100,1,3.5
Classics,Life Concepts and Issues: Introduction to Life Sciences for Non-Science Majors,2017,Fall,BIOL-7400,1,2.84
Music and Performing Arts,Life Concepts and Issues: Introduction to Life Sciences for Non-Science Majors,2014,Fall,BIOL-7400,2,3.08
Personal Development,Pharmacology,2015,Fall,BIOL-7900,1,3.62
Chemistry,Pharmacology,2016,Fall,BIOL-7900,1,3.12
Political Science,Pulmonary Medical School,2016,Fall,BIOL-8400,1,3.63
Archaeology,Pulmonary Medical School,2015,Fall,BIOL-8400,1,2.83
Aeronautics,Pulmonary Medical School,2016,Fall,BIOL-8400,1,3.41
Literature,Virology,2017,Fall,BIOL-9800,1,2.76
Economics and Finance,Organic Chemistry 1,2014,Fall,CHEM-2900,1,3.33
Chemistry,Organic Chemistry 1,2016,Fall,CHEM-2900,18,3.187222222
Political Science,Organic Chemistry 1,2018,Fall,CHEM-2900,1,3.52
Aeronautics,Organic Chemistry 1,2015,Fall,CHEM-2900,1,3.24
Classics,Organic Chemistry 1,2018,Fall,CHEM-2900,1,3.13
Aeronautics,Introduction to Public Speaking,2014,Fall,COMM-1200,1,3.14
Writing,Introduction to Public Speaking,2017,Fall,COMM-1200,1,3.66
Classics,Introduction to Public Speaking,2018,Fall,COMM-1200,1,2.93
Music and Performing Arts,Introduction to Public Speaking,2018,Fall,COMM-1200,1,3.17
Physics,Introduction to Public Speaking,2020,Fall,COMM-1200,1,3.58
Personal Development,Introduction to Public Speaking,2017,Fall,COMM-1200,1,3.94
Music and Performing Arts,Product Design: The Delft Design Approach,2017,Fall,DESI-1000,2,3.12
Design,Product Design: The Delft Design Approach,2018,Fall,DESI-1000,21,3.26047619
Data Science,Product Design: The Delft Design Approach,2016,Fall,DESI-1000,1,3.41
Design,Product Design: The Delft Design Approach,2017,Fall,DESI-1000,15,3.402
Design,Video Game Design History,2015,Fall,DESI-1100,24,3.234583333
Environment and Natural Resources,Video Game Design History,2019,Fall,DESI-1100,1,3.47
Anthropology,Video Game Design History,2017,Fall,DESI-1100,4,3.305
Religion,Video Game Design History,2018,Fall,DESI-1100,2,3.11
Communication,Video Game Design History,2017,Fall,DESI-1100,1,3.11
Archaeology,History of the United States Since 1877,2017,Fall,HIST-4800,1,3.23
Anthropology,History of the United States Since 1877,2017,Fall,HIST-4800,1,3.17
Communication,Ireland in Rebellion (1782-1916),2014,Fall,HIST-5500,1,3.15
Astronomy,Ireland in Rebellion (1782-1916),2017,Fall,HIST-5500,1,3.9
Communication,Magic in the Middle Ages,2017,Fall,HIST-5800,2,3.225
Geography,Magic in the Middle Ages,2015,Fall,HIST-5800,2,3.435
Biology,Magic in the Middle Ages,2017,Fall,HIST-5800,1,3.43
Film,Modern Jewish History,2014,Fall,HIST-6300,1,3.21
Media Studies,Modern Jewish History,2014,Fall,HIST-6300,1,2.88
Writing,Modern Jewish History,2014,Fall,HIST-6300,1,2.82
Aeronautics,Modern Jewish History,2016,Fall,HIST-6300,1,3.21
Architecture,The Modern World: Global History Since 1760,2014,Fall,HIST-8700,1,3.06
Urban Studie,The Modern World: Global History Since 1760,2016,Fall,HIST-8700,3,2.85
Writing,The Modern World: Global History Since 1760,2016,Fall,HIST-8700,1,2.62
Film,The Modern World: Global History Since 1760,2015,Fall,HIST-8700,1,3.25
Communication,The Modern World: Global History Since 1760,2014,Fall,HIST-8700,1,3.26
Economics and Finance,The Peculiar Modernity of Britain 1848-2000,2017,Fall,HIST-9200,1,3.05
History,The Peculiar Modernity of Britain 1848-2000,2014,Fall,HIST-9200,6,2.88
History,The Peculiar Modernity of Britain 1848-2000,2016,Fall,HIST-9200,6,3.415
Literature,The Peculiar Modernity of Britain 1848-2000,2016,Fall,HIST-9200,2,3.06
Design,The Peculiar Modernity of Britain 1848-2000,2016,Fall,HIST-9200,1,3.05
Personal Development,The Peculiar Modernity of Britain 1848-2000,2015,Fall,HIST-9200,1,3.2
Literature,Creative Reading,2018,Fall,LITE-0800,5,3.426
Chemistry,Creative Reading,2015,Fall,LITE-0800,1,3.5
World Languages,Creative Reading,2015,Fall,LITE-0800,1,3.31
Archaeology,Creative Reading,2017,Fall,LITE-0800,1,3.19
Film,Creative Reading,2020,Fall,LITE-0800,1,3.77
Anthropology,Creative Reading,2020,Fall,LITE-0800,1,3.5
History,Creative Reading,2018,Fall,LITE-0800,1,3.26
Design,Creative Reading,2016,Fall,LITE-0800,1,3.24
Philosophy,Creative Reading,2017,Fall,LITE-0800,1,3.6
Literature,Literature and Psychoanalysis,2014,Fall,LITE-4000,6,2.991666667
Communication,Literature and Psychoanalysis,2014,Fall,LITE-4000,1,3.02
Writing,Lord of the Rings III: Return of the King,2016,Fall,LITE-4400,1,3.62
Literature,Lord of the Rings III: Return of the King,2015,Fall,LITE-4400,3,2.92
Design,Lord of the Rings III: Return of the King,2017,Fall,LITE-4400,1,2.86
